Rider,BirthDate
PETIT Adrien,1990-9-26
DE VRIES Berden,1989-3-10
DUVAL Julien,1990-5-27
BONIFAZIO Niccolò,1993-10-29
DEHAES Kenny,1984-11-10
VERMELTFOORT Coen,1988-4-11
KREDER Raymond,1989-11-26
VERMEULEN Emiel,1993-2-16
ISTA Kevyn,1984-11-22
VAN LERBERGHE Bert,1992-9-29
RICKAERT Jonas,1994-2-7
YSSAAD Yannis,1993-6-25
NAESEN Oliver,1990-9-16
CANOLA Marco,1988-12-26
MARTINEZ Yannick,1988-5-4
VANTOMME Maxime,1986-3-8
TOUZÉ Damien,1996-7-7
MALUCELLI Matteo,1993-10-20
VENTURINI Clément,1993-10-16
CHAVANEL Sylvain,1979-6-30
DÉMARE Arnaud,1991-8-26
BONNAMOUR Franck,1995-6-20
DEBUSSCHERE Jens,1989-8-28
TRONET Steven,1986-10-14
VAN DER HOORN Taco,1993-12-4
HAUSSLER Heinrich,1984-2-25
LIGTHART Pim,1988-6-16
PICHON Laurent,1986-7-19
RIBLON Christophe,1981-1-17
SÉNÉCHAL Florian,1993-7-10
FINETTO Mauro,1985-5-10
DASSONVILLE Flavien,1991-2-16
ARMÉE Sander,1985-12-10
DUCHESNE Antoine,1991-9-12
HANSEN Lasse Norman,No Date Found
KONOVALOVAS Ignatas,1985-12-8
SIEBERG Marcel,1982-4-30
GUARNIERI Jacopo,1987-8-14
BAGDONAS Gediminas,1985-12-26
MAES Nikolas,1986-4-9
JAKIN Alo,1986-11-14
OFFREDO Yoann,1986-11-12
LEVEAU Jérémy,1992-4-17
FILOSI Iuri,1992-1-17
CLAEYS Dimitri,1987-6-18
GATE Aaron,1990-11-26
GÉRARD Arnaud,1984-10-6
THOMAS Benjamin,1987-11-30
BENFATTO Marco,1988-1-6
DUIJN Huub,1984-9-1
ARIESEN Tim,1994-3-20
BUDDING Martijn,1995-8-31
REINDERS Elmar,1992-3-14
VENDRAME Andrea,1994-7-20
CIMOLAI Davide,1989-8-13
NAPOLITANO Danilo,1981-1-31
ANTONINI Simone,1991-2-12
PLANCKAERT Edward,1995-2-1
SPENGLER Lukas,1994-9-16
NOPPE Christophe,1994-11-29
WOUTERS Enzo,1996-3-21
CARDIS Romain,1992-8-12
VEUCHELEN Frederik,1978-9-4
MASSON Christophe,1985-9-6
GRELLIER Fabien,1994-10-31
LE GAC Olivier,1993-8-27
FERNÁNDEZ Delio,1986-2-17
GÈNE Yohann,1981-6-25
CANAL Fabien,1989-4-4
JARRIER Benoît,1989-2-1
STASSEN Julien,1988-10-20
MOUREY Francis,1980-12-8
MENUT David,1992-3-11
PACHER Quentin,1992-1-6
BALDO Nicolas,1984-6-10
PER David,1995-2-13
ŠIŠKEVIČIUS Evaldas,No Date Found
BOŽIČ Borut,1980-8-8
MARANGONI Alan,1984-7-16
MARINI Nicolas,1993-7-29
PACIONI Luca,1993-8-13
SMUKULIS Gatis,1987-4-15
MADRAZO Ángel,1988-7-30
DUQUENNOY Jimmy,1995-6-9
POULHIÈS Stéphane,1985-6-26
IRVINE Martyn,1985-6-6
DUMOULIN Samuel,1980-8-20
BARBIER Rudy,1992-12-18
BESCOND Jérémy,1991-2-27
FEILLU Brice,1985-7-26
LEDANOIS Kévin,1993-7-13
KOBAYASHI Marino,1994-7-1
CUNEGO Damiano,1981-9-19
CHETOUT Loïc,1992-9-23
TURGIS Anthony,1994-5-16
TURGIS Jimmy,1991-8-10
VANBILSEN Kenneth,No Date Found
PICHOT Alexandre,1983-1-6
FOURNIER Marc,1994-11-12
CABOT Jérémy,1991-7-24
SEYNAEVE Lander,1992-5-29
LECROQ Jérémy,1995-4-7
WALLAYS Jens,1992-9-15
DELTOMBE Kevin,1994-2-27
DE PAUW Moreno,1991-8-12
GAUDIN Damien,1986-8-20
FERASSE Thibault,1994-9-12
ALAPHILIPPE Bryan,1995-8-17
WALLAYS Jelle,1989-5-11
MERTZ Rémy,1995-7-17
SPREAFICO Matteo,1993-2-15
FRAPPORTI Mattia,1994-7-2
BONUSI Raffaello,1992-1-31
FENG Chun Kai,1988-11-2
NOVAK Domen,1995-7-12
WANG Meiyin,1988-12-26
FENN Andrew,1990-7-1
EL FARES Julien,1985-6-1
BACKAERT Frederik,1990-3-13
KREDER Michel,1987-8-15
COLBRELLI Sonny,1990-5-17
BOIVIN Guillaume,1989-5-25
MODOLO Sacha,1987-6-19
ALBASINI Michael,1980-12-20
VIVIANI Elia,1989-2-7
CONSONNI Simone,1994-9-12
ARCHBOLD Shane,1989-2-2
RÄIM Mihkel,1993-7-3
PRADES Eduard,1987-8-9
BALLERINI Davide,1994-9-21
HERKLOTZ Silvio,1994-5-6
BARBIN Enrico,1990-3-4
