,name2,cluster_labels
0,2017 4 Jours de Dunkerque ,3
1,2017 99a Coppa Bernocchi - 42o GP BPM,5
2,2017 Abu Dhabi Tour Stage 1,3
3,2017 Abu Dhabi Tour Stage 2,0
4,2017 Abu Dhabi Tour Stage 3,5
5,2017 Abu Dhabi Tour Stage 4,8
6,2017 ACC Asian Road Championships - ITT,0
7,2017 ACC Asian Road Championships - TTT,0
8,2017 ACC Asian Road Championships,2
9,2017 Amgen Tour of California Stage 1,5
10,2017 Amgen Tour of California Stage 2,5
11,2017 Amgen Tour of California Stage 3,5
12,2017 Amgen Tour of California Stage 4,5
13,2017 Amgen Tour of California Stage 5,4
14,2017 Amgen Tour of California Stage 6,0
15,2017 Amgen Tour of California Stage 7,5
16,2017 Amstel Gold Race,6
17,2017 Arctic Race of Norway Stage 1,5
18,2017 Arctic Race of Norway Stage 2,5
19,2017 Arctic Race of Norway Stage 3,6
20,2017 Arctic Race of Norway Stage 4,6
21,2017 Arnhem-Veenendaal Classic,6
22,2017 Australian Road National Championships - ITT,0
23,2017 Australian Road National Championships,5
24,2017 Austrian Road National Championships - ITT,0
25,2017 Austrian Road National Championships,5
26,2017 Baloise Belgium Tour Stage 1,3
27,2017 Baloise Belgium Tour Stage 2,1
28,2017 Baloise Belgium Tour Stage 3,0
29,2017 Baloise Belgium Tour Stage 4,5
30,2017 Baloise Belgium Tour Stage 5,3
31,2017 Belgian Road National Championships - ITT,0
32,2017 Belgian Road National Championships,1
33,2017 BeNe Ladies Tour Prologue,0
34,2017 BeNe Ladies Tour Stage 1,0
35,2017 BeNe Ladies Tour Stage 2-1,1
36,2017 BeNe Ladies Tour Stage 2-2,0
37,2017 BeNe Ladies Tour Stage 3,1
38,2017 Binche - Chimay - Binche (Memorial Frank Vandenbroucke),5
39,2017 BinckBank Tour Stage 1,3
40,2017 BinckBank Tour Stage 2,2
41,2017 BinckBank Tour Stage 3,1
42,2017 BinckBank Tour Stage 4,3
43,2017 BinckBank Tour Stage 5,6
44,2017 BinckBank Tour Stage 6,6
45,2017 BinckBank Tour Stage 7,6
46,2017 Boels Rentals Ladies Tour Prologue,0
47,2017 Boels Rentals Ladies Tour Stage 1,3
48,2017 Boels Rentals Ladies Tour Stage 2,0
49,2017 Boels Rentals Ladies Tour Stage 3,0
50,2017 Boels Rentals Ladies Tour Stage 4,6
51,2017 Boels Rentals Ladies Tour Stage 5,6
52,2017 Boucles de l'Aulne - Chateaulin,5
53,2017 Boucles de la Mayenne Prologue,0
54,2017 Boucles de la Mayenne Stage 1,5
55,2017 Boucles de la Mayenne Stage 2,5
56,2017 Boucles de la Mayenne Stage 3,5
57,2017 Bretagne Classic - Ouest France,5
58,2017 British Road National Championships - ITT,0
59,2017 British Road National Championships,5
60,2017 Brussels Cycling Classic,6
61,2017 CAC African Road Championships - ITT,0
62,2017 CAC African Road Championships - TTT,0
63,2017 CAC African Road Championships,3
64,2017 Cadel Evans Great Ocean Road Race - Albert Park Grand Prix,6
65,2017 Cadel Evans Great Ocean Road Race,3
66,2017 Canadian Road National Championships - ITT,0
67,2017 Canadian Road National Championships,3
68,2017 Carrefour Market Heistse Pijl,3
69,2017 Chrono des Nations,0
70,2017 Circuit Cycliste Sarthe - Pays de la Loire Stage 1,5
71,2017 Circuit Cycliste Sarthe - Pays de la Loire Stage 2-1,3
72,2017 Circuit Cycliste Sarthe - Pays de la Loire Stage 2-2,0
73,2017 Circuit Cycliste Sarthe - Pays de la Loire Stage 3,5
74,2017 Circuit Cycliste Sarthe - Pays de la Loire Stage 4,5
75,2017 Circuito de Getxo - Memorial Ricardo Otxoa,5
76,2017 Clasica Ciclista San Sebastian,6
77,2017 Clasica de Almeria,5
78,2017 Classic Loire Atlantique,5
79,2017 Colombian Road National Championships - ITT,2
80,2017 Colombian Road National Championships,4
81,2017 Colorado Classic Stage 1,6
82,2017 Colorado Classic Stage 2,4
83,2017 Colorado Classic Stage 3,4
84,2017 Colorado Classic Stage 4,1
85,2017 COPACI Campeonato Panamericano de Ruta - ITT,0
86,2017 COPACI Campeonato Panamericano de Ruta,2
87,2017 Coppa Agostoni - Giro delle Brianze,5
88,2017 Coppa Sabatini,5
89,2017 Crescent Vargarda TTT,0
90,2017 Crescent Vargarda,5
91,2017 Criterium du Dauphine Stage 1,6
92,2017 Criterium du Dauphine Stage 2,5
93,2017 Criterium du Dauphine Stage 3,5
94,2017 Criterium du Dauphine Stage 4,0
95,2017 Criterium du Dauphine Stage 5,5
96,2017 Criterium du Dauphine Stage 6,6
97,2017 Criterium du Dauphine Stage 7,4
98,2017 Criterium du Dauphine Stage 8,4
99,2017 Czech Cycling Tour Stage 1,0
100,2017 Czech Cycling Tour Stage 2,6
101,2017 Czech Cycling Tour Stage 3,6
102,2017 Czech Cycling Tour Stage 4,5
103,2017 Czech Republic Road National Championships - ITT,0
104,2017 Czech Republic Road National Championships,0
105,2017 Danilith - Nokere Koerse,1
106,2017 Danish Road National Championships - ITT,0
107,2017 Danish Road National Championships,3
108,2017 De Brabantse Pijl - La Fleche Brabanconne,1
109,2017 Driedaagse De Panne - Koksijde Stage 1,6
110,2017 Driedaagse De Panne - Koksijde Stage 2,3
111,2017 Driedaagse De Panne - Koksijde Stage 3-1,0
112,2017 Driedaagse De Panne - Koksijde Stage 3-2,0
113,2017 Druivenkoers - Overijse,1
114,2017 Dubai Tour Stage 1,3
