Race Name,Constrained,KmeansClust
2017 4 Jours de Dunkerque ,1,3
2017 99a Coppa Bernocchi - 42o GP BPM,2,2
2017 Abu Dhabi Tour Stage 1,1,7
2017 Abu Dhabi Tour Stage 3,0,4
2017 Abu Dhabi Tour Stage 4,4,6
2017 ACC Asian Road Championships - ITT,5,0
2017 ACC Asian Road Championships - TTT,5,0
2017 ACC Asian Road Championships,5,3
2017 Amgen Tour of California Stage 1,1,3
2017 Amgen Tour of California Stage 2,0,4
2017 Amgen Tour of California Stage 3,1,5
2017 Amgen Tour of California Stage 4,2,8
2017 Amgen Tour of California Stage 5,0,4
2017 Amgen Tour of California Stage 6,3,0
2017 Amgen Tour of California Stage 7,2,1
2017 Arctic Race of Norway Stage 1,2,8
2017 Arctic Race of Norway Stage 2,2,8
2017 Australian Road National Championships - ITT,5,0
2017 Australian Road National Championships,6,2
2017 Austrian Road National Championships,2,1
2017 Baloise Belgium Tour Stage 2,6,3
2017 Baloise Belgium Tour Stage 3,5,0
2017 Baloise Belgium Tour Stage 4,2,2
2017 Belgian Road National Championships - ITT,5,0
2017 Belgian Road National Championships,6,3
2017 BeNe Ladies Tour Prologue,5,0
2017 BeNe Ladies Tour Stage 2-1,6,3
2017 BeNe Ladies Tour Stage 2-2,5,0
2017 BeNe Ladies Tour Stage 3,6,3
2017 Binche - Chimay - Binche (Memorial Frank Vandenbroucke),1,5
2017 BinckBank Tour Stage 3,6,3
2017 Boels Rentals Ladies Tour Prologue,5,0
2017 Boucles de l'Aulne - Chateaulin,2,2
2017 Boucles de la Mayenne Prologue,5,0
2017 Boucles de la Mayenne Stage 1,1,3
2017 Boucles de la Mayenne Stage 2,2,2
2017 Boucles de la Mayenne Stage 3,1,5
2017 Bretagne Classic - Ouest France,2,2
2017 British Road National Championships - ITT,5,0
2017 British Road National Championships,2,8
2017 CAC African Road Championships - ITT,5,0
2017 CAC African Road Championships - TTT,5,0
2017 CAC African Road Championships,5,7
2017 Canadian Road National Championships - ITT,5,0
2017 Canadian Road National Championships,1,7
2017 Chrono des Nations,5,0
2017 Circuit Cycliste Sarthe - Pays de la Loire Stage 1,2,5
2017 Circuit Cycliste Sarthe - Pays de la Loire Stage 2-1,5,0
2017 Circuit Cycliste Sarthe - Pays de la Loire Stage 2-2,5,0
2017 Circuit Cycliste Sarthe - Pays de la Loire Stage 3,2,1
2017 Circuit Cycliste Sarthe - Pays de la Loire Stage 4,1,3
2017 Circuito de Getxo - Memorial Ricardo Otxoa,6,3
2017 Clasica de Almeria,2,5
2017 Classic Loire Atlantique,1,3
2017 Colombian Road National Championships - ITT,3,0
2017 Colorado Classic Stage 2,3,1
2017 Colorado Classic Stage 4,3,3
2017 COPACI Campeonato Panamericano de Ruta - ITT,5,0
2017 COPACI Campeonato Panamericano de Ruta,5,0
2017 Coppa Agostoni - Giro delle Brianze,2,1
2017 Coppa Sabatini,2,2
2017 Crescent Vargarda TTT,5,0
2017 Crescent Vargarda,6,3
2017 Criterium du Dauphine Stage 2,0,4
2017 Criterium du Dauphine Stage 3,2,1
2017 Criterium du Dauphine Stage 4,5,0
2017 Criterium du Dauphine Stage 5,2,2
2017 Criterium du Dauphine Stage 7,0,4
2017 Criterium du Dauphine Stage 8,0,4
2017 Czech Cycling Tour Stage 1,5,0
2017 Czech Cycling Tour Stage 4,2,5
2017 Czech Republic Road National Championships - ITT,5,0
2017 Danilith - Nokere Koerse,6,3
2017 Danish Road National Championships - ITT,5,0
2017 De Brabantse Pijl - La Fleche Brabanconne,6,3
2017 Driedaagse De Panne - Koksijde Stage 3-2,5,0
2017 Druivenkoers - Overijse,6,3
2017 Dubai Tour Stage 3,4,6
2017 Duo Normand,5,0
2017 Dwars door het Hageland - Aarschot,6,3
2017 Emakumeen XXX. Bira Stage 1,5,0
2017 Emakumeen XXX. Bira Stage 3,1,8
2017 Emakumeen XXX. Bira Stage 4,2,8
2017 Emakumeen XXX. Bira Stage 5,2,8
2017 Etoile de Besseges Stage 1,1,7
2017 Etoile de Besseges Stage 2,1,3
2017 Etoile de Besseges Stage 4,1,5
